"vcIDProd";"vcCodigoBarras";"vcPLU";"vcTipoProducto";"intIdUnidMed";"intIDMarca";"vcDescProd";"vcNombCorto";"dteFecUltCompra";"dteFecUltVenta";"dteFechAlta";"vcOperacion";"dteFechaOperacion"
"                    1";"";"1";"1.5.3";"14";"1491";"Jamon blanco Cemvic-1-";"";"2018-04-03 14:22:19";"2018-04-08 21:25:00";"2012-09-17 18:04:25";"C";"2018-04-08 21:25:00"
"                    10";"";"10";"1.5.12";"14";"1492";"Queso de Puerco -10--";"";"2018-04-07 12:23:36";"2018-04-08 21:22:56";"2012-09-25 15:43:17";"C";"2018-04-08 21:22:56"
"                    100";"";"100";"1.1.20.5";"14";"1493";"Huevo    -100-";"";"2018-04-04 14:10:02";"2018-04-08 21:28:37";"2012-09-18 19:11:21";"C";"2018-04-08 21:28:37"
"                    101";"";"101";"1.1.20.5";"2";"1";"caja huevo vacia-101-";"";;"2018-03-06 16:35:22";"2013-08-25 16:38:56";"C";"2018-03-06 16:35:22"
"                    104";"";"104";"1.11.10";"2";"1";"cuchara suelta gran-104-";"";;"2018-03-14 10:03:40";"2013-10-26 22:21:06";"C";"2018-03-14 10:03:40"
"                    107";"";"107";"1.1.4.10";"2";"154";"Empanada Rellena 2.00-107-";"";"2018-04-05 10:44:54";"2018-04-06 18:17:43";"2015-07-31 09:09:14";"C";"2018-04-06 18:17:43"
"                    12";"";"12";"1.5.12";"14";"1499";"Tocino     - 12-";"";"2018-03-30 14:57:29";"2018-04-08 16:30:21";"2012-09-25 15:46:44";"C";"2018-04-08 16:30:21"
"                    120";"";"120";"1.1.13.4";"3";"1";"plato PH8 pozole cualquir marca -120-";"";"2018-01-25 14:47:21";"2018-04-02 11:41:08";"2015-07-30 00:39:33";"C";"2018-04-02 11:41:08"
"                    13";"";"13";"1.5.12";"14";"1491";"Pierna           -13-";"";"2018-01-12 12:45:14";"2018-01-27 12:41:37";"2012-09-25 15:48:18";"C";"2018-01-27 12:41:37"
"                    14";"";"14";"1.5.12";"14";"1500";"Longaniza     - 14-";"";"2018-04-08 14:01:59";"2018-04-08 14:54:56";"2012-09-28 18:48:58";"C";"2018-04-08 15:05:00"
"                    141";"";"141";"1.1.17.2";"14";"1";"Harina de trigo suelta-141-";"";;"2018-03-09 19:16:56";"2015-06-27 13:07:44";"C";"2018-03-09 19:16:56"
"                    151";"";"151";"1.8.7";"2";"1283";"alka-seltzer pastilla-151-";"";"2018-03-09 12:16:51";"2018-04-03 17:00:18";"2012-10-17 21:27:54";"C";"2018-04-03 17:00:18"
"                    17";"";"17";"1.5.13";"14";"218";"Queso cotija   -17-";"";"2018-02-14 14:41:02";"2018-04-06 15:55:34";"2012-09-28 22:59:22";"C";"2018-04-06 15:55:34"
"                    18";"";"18";"1.5.13";"14";"218";"queso Manche  meno -18-";"";"2018-04-07 12:23:36";"2018-04-07 21:17:29";"2012-09-28 23:20:21";"C";"2018-04-07 21:17:29"
"                    2";"";"2";"1.5.3";"14";"1492";"Jamon de Pavo Galicia -2-";"";"2018-04-03 14:22:19";"2018-04-08 14:48:45";"2012-09-18 18:23:24";"C";"2018-04-08 14:48:45"
"                    20";"";"20";"1.5.3";"14";"1";"pechuga de pavo-20-";"";"2018-01-20 21:25:52";"2018-04-03 21:01:10";"2013-02-20 19:17:35";"C";"2018-04-03 21:01:10"
"                    21";"";"21";"1.15.2.1";"2";"1";"IMPORTE CAGUAMA-21-";"";"2017-06-03 00:30:25";"2018-04-08 16:35:35";"2013-02-20 19:15:47";"C";"2018-04-08 16:35:35"
"                    22";"";"22";"1.5.2";"2";"1479";"Importe cerverza chica-22-";"";"2017-06-03 00:30:25";"2018-04-08 15:06:23";"2013-07-28 16:14:36";"C";"2018-04-08 15:06:23"
"                    23";"";"23";"1.5.12";"9";"1";"Importe coca/sidral taquera-23-";"";"2013-08-22 21:44:21";"2018-04-08 15:52:07";"2013-07-29 22:08:17";"C";"2018-04-08 15:52:07"
"                    24";"";"24";"1.5.12";"9";"1306";"importe coca 1.25 2.5 y 3L -24-";"";"2016-08-22 14:17:32";"2018-04-08 15:31:32";"2013-07-31 18:09:25";"C";"2018-04-08 15:31:32"
"                    25";"";"25";"1.5.3";"14";"1";"Minino   -25-";"";"2018-02-12 18:21:09";"2018-03-10 21:31:28";"2013-09-27 23:16:05";"C";"2018-03-10 21:31:28"
"                    3";"";"3";"1.5.2";"14";"1492";"Jamon de Cerdo Gali- 3-";"";"2018-04-05 10:35:02";"2018-04-08 20:25:04";"2012-09-19 16:53:33";"C";"2018-04-08 20:25:04"
"                    301";"";"301";"1.1.21.12";"2";"673";"petalo 221 suelto 3.5   -301-";"";;"2018-03-31 20:25:27";"2012-10-20 20:25:00";"C";"2018-03-31 20:25:27"
"                    302";"";"302";"1.1.21.12";"2";"676";"VOGUE a suelto    -302-";"";"2016-12-11 12:53:41";"2018-04-07 14:24:08";"2012-10-20 20:27:07";"C";"2018-04-07 14:24:08"
"                    307";"";"307";"1.1.21.12";"16";"1";"hortencia suelto un rollo-307-";"";;"2018-03-17 13:00:23";"2014-01-18 23:58:06";"C";"2018-03-17 13:00:23"
"                    31";"";"31";"1.1.23.2";"14";"1135";"pall gato  -31-";"";;"2018-01-09 21:04:46";"2012-10-29 21:15:51";"C";"2018-01-09 21:04:46"
"                    321";"";"321";"1.1.21.7";"2";"1155";"toalla SUEL 3.00 -321-";"";"2017-08-01 12:58:24";"2018-04-04 21:27:04";"2012-10-20 20:46:24";"C";"2018-04-04 21:27:04"
"                    37";"";"37";"1.1.23.2";"14";"875";"CAT CHAO  - 37-";"";"2018-03-11 15:01:26";"2018-04-08 12:33:46";"2012-10-17 20:22:31";"C";"2018-04-08 12:33:46"
